symbol,date,price,volume
MSFT,10/16/25,510.65,15559600.0
MSFT,10/17/25,512.62,19867800.0
MSFT,10/20/25,515.82,14665600.0
MSFT,10/21/25,516.69,15586200.0
MSFT,10/22/25,519.57,18962700.0
MSFT,10/23/25,519.59,14023500.0
MSFT,10/24/25,522.63,15532400.0
MSFT,10/27/25,530.53,18734700.0
MSFT,10/28/25,541.06,29986700.0
MSFT,10/29/25,540.54,36023000.0
MSFT,10/30/25,524.78,41023100.0
MSFT,10/31/25,516.84,34006400.0
MSFT,11/03/25,516.06,22374700.0
MSFT,11/04/25,513.37,20958700.0
MSFT,11/05/25,506.21,23024300.0
MSFT,11/06/25,496.17,27406500.0
MSFT,11/07/25,495.89,24019800.0
MSFT,11/10/25,505.05,26101500.0
MSFT,11/11/25,507.73,17980000.0
MSFT,11/12/25,510.19,26574900.0
MSFT,11/13/25,502.35,25273100.0
MSFT,11/14/25,509.23,28505700.0
MSFT,11/17/25,506.54,19092800.0
MSFT,11/18/25,492.87,33815100.0
MSFT,11/19/25,486.21,23245300.0
MSFT,11/20/25,478.43,26802500.0
MSFT,11/21/25,472.12,31769200.0
MSFT,11/24/25,474.0,34421000.0
MSFT,11/25/25,476.99,28019800.0
MSFT,11/26/25,485.5,25709100.0
MSFT,11/28/25,492.01,14386700.0
MSFT,12/01/25,486.74,23964000.0
MSFT,12/02/25,490.0,19562700.0
MSFT,12/03/25,477.73,34615100.0
MSFT,12/04/25,480.84,22318200.0
MSFT,12/05/25,483.16,22608700.0
